#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1,2024/07/21,335.00,0.96,340.00,321.60,332.00,"304,300","101,808,123.40"
2,2024/07/18,331.80,5.67,340.00,309.00,314.10,"213,901","69,657,317.30"
3,2024/07/17,314.00,1.29,316.20,305.00,316.20,"147,540","45,815,225.80"
4,2024/07/16,310.00,5.44,320.00,288.80,299.00,"270,358","80,587,886.30"
5,2024/07/15,294.00,-1.51,308.00,290.20,304.40,"115,912","34,259,252.80"
6,2024/07/14,298.50,2.58,308.00,294.00,296.80,"113,142","33,735,563.70"
7,2024/07/11,291.00,1.57,291.80,286.00,288.10,"139,159","40,177,460.20"
8,2024/07/10,286.50,0.46,288.00,282.00,283.00,"42,559","12,128,099.30"
9,2024/07/09,285.20,1.68,287.50,278.00,286.10,"274,360","78,261,794.40"
10,2024/07/08,280.50,-0.21,286.40,279.40,282.00,"49,865","14,044,240.70"
11,2024/07/07,281.10,3,283.00,271.00,271.00,"106,759","29,570,800.60"
12,2024/07/04,272.90,0.7,275.00,267.10,270.00,"86,098","23,340,200.90"
13,2024/07/03,271.00,-0.37,274.90,262.00,272.00,"41,796","11,197,687.80"
14,2024/07/02,272.00,1.68,286.60,268.40,272.80,"87,848","23,953,893.40"
15,2024/07/01,267.50,3.28,268.00,256.00,256.00,"62,619","16,596,784.80"
16,2024/06/30,259.00,-0.77,262.90,257.30,262.00,"17,310","4,482,561.40"
17,2024/06/27,261.00,-0.76,265.00,260.00,260.10,"28,727","7,479,023.30"
18,2024/06/26,263.00,0.19,264.00,260.00,260.10,"7,484","1,963,148.10"
19,2024/06/25,262.50,-0.94,267.00,261.00,266.00,"22,605","5,952,486.80"
20,2024/06/24,265.00,1.92,286.00,257.10,265.20,"41,247","10,856,480.70"
21,2024/06/23,260.00,-0.38,287.10,258.00,258.10,"22,427","5,847,220.40"
22,2024/06/20,261.00,-0.76,265.00,258.00,258.00,"14,554","3,791,134.00"
23,2024/06/19,263.00,0.57,266.70,261.10,266.70,"8,129","2,129,622.10"
24,2024/06/18,261.50,-2.43,267.90,261.50,267.90,"19,809","5,224,418.50"
25,2024/06/16,268.00,0.75,270.00,261.20,270.00,"33,067","8,772,513.70"
26,2024/06/13,266.00,-1.12,269.00,264.60,269.00,"17,533","4,657,802.50"
27,2024/06/12,269.00,3.86,282.90,259.60,263.00,"35,200","9,303,155.40"
28,2024/06/11,259.00,1.97,261.00,254.00,259.00,"26,904","6,911,805.40"
29,2024/06/10,254.00,-0.39,260.10,249.90,260.10,"38,941","9,767,907.90"
30,2024/06/09,255.00,-2.63,267.10,255.00,267.10,"30,419","7,820,682.60"
31,2024/06/06,261.90,-0.8,268.50,260.00,268.50,"23,243","6,060,520.50"
32,2024/06/05,264.00,-1.09,272.20,262.40,272.20,"16,572","4,373,892.20"
33,2024/06/04,266.90,1.87,267.20,258.00,267.20,"39,795","10,462,244.80"
34,2024/06/03,262.00,-1.13,270.30,261.20,270.30,"26,425","6,961,479.20"
35,2024/06/02,265.00,1.53,265.60,258.10,264.90,"36,533","9,581,141.90"
36,2024/05/30,261.00,-3.33,267.30,260.00,267.00,"30,737","8,058,622.40"
37,2024/05/29,270.00,-2.53,292.90,267.00,282.50,"55,763","15,262,204.40"
38,2024/05/27,277.00,-0.18,280.00,272.00,277.50,"63,787","17,497,028.40"
39,2024/05/26,277.50,-0.89,285.60,276.00,285.00,"93,070","26,082,482.60"
40,2024/05/22,280.00,7.07,287.60,258.00,258.00,"168,134","45,697,872.80"
41,2024/05/21,261.50,0.15,266.30,260.10,266.30,"38,353","10,041,766.60"
42,2024/05/20,261.10,2.8,265.10,254.00,259.00,"147,012","38,457,283.50"
43,2024/05/19,254.00,5.35,260.10,242.00,245.90,"67,790","16,906,481.80"
44,2024/05/16,241.10,-1.19,248.80,239.00,248.80,"24,081","5,854,379.70"
45,2024/05/15,244.00,-0.41,247.00,240.10,241.10,"24,472","5,958,962.50"
46,2024/05/14,245.00,0,249.90,242.50,249.90,"13,509","3,314,731.60"
47,2024/05/13,245.00,2.51,246.00,235.00,243.70,"51,018","12,398,418.20"
48,2024/05/12,239.00,0,243.70,234.40,243.70,"14,870","3,514,468.30"
49,2024/05/09,239.00,2.58,241.50,233.10,236.80,"37,949","9,016,046.00"
50,2024/05/08,233.00,-1.73,236.80,228.00,236.50,"7,893","1,845,944.20"
51,2024/05/07,237.10,0.68,237.90,235.00,235.10,"20,390","4,815,076.20"
52,2024/05/06,235.50,-1.46,240.00,235.00,239.80,"22,081","5,213,374.20"
53,2024/05/05,239.00,-0.83,240.00,234.50,238.00,"22,003","5,207,394.70"
54,2024/05/02,241.00,0.42,244.80,238.00,244.80,"68,990","16,586,807.20"
55,2024/04/30,240.00,1.61,240.90,235.00,240.90,"35,982","8,592,327.40"
56,2024/04/29,236.20,0.3,240.20,232.00,240.20,"25,653","6,064,420.60"
57,2024/04/28,235.50,2.39,250.90,226.10,228.10,"30,349","6,992,774.20"
58,2024/04/25,230.00,0.22,232.90,227.50,229.00,"13,249","3,043,740.40"
59,2024/04/24,229.50,0.04,231.90,228.10,230.00,"18,242","4,195,411.40"
60,2024/04/22,229.40,-1.55,235.00,229.00,234.00,"20,603","4,769,306.50"
61,2024/04/21,233.00,4.3,234.00,225.00,227.80,"50,829","11,649,302.10"
62,2024/04/18,223.40,-0.09,225.00,220.50,225.00,"8,650","1,934,318.20"
63,2024/04/16,223.60,-0.62,226.00,223.00,225.10,"9,690","2,174,354.70"
64,2024/04/15,225.00,-0.49,228.00,224.50,226.00,"11,054","2,489,757.30"
65,2024/04/14,226.10,-0.4,229.00,224.00,225.00,"34,920","7,905,865.80"
66,2024/04/10,227.00,-0.22,230.00,226.60,230.00,"16,651","3,786,957.50"
67,2024/04/09,227.50,-0.22,230.00,226.00,228.00,"14,615","3,322,977.90"
68,2024/04/07,228.00,0.8,229.00,225.10,227.00,"23,508","5,305,895.70"
69,2024/04/04,226.20,-1.65,227.50,226.00,226.10,"16,873","3,818,198.60"
70,2024/04/03,230.00,0.88,230.00,226.00,230.00,"27,641","6,282,366.70"
71,2024/04/02,228.00,0,232.50,225.30,232.50,"14,167","3,206,644.70"
72,2024/04/01,228.00,-0.18,230.00,225.00,228.00,"29,683","6,717,812.70"
73,2024/03/31,228.40,-0.7,232.00,227.40,228.00,"12,071","2,773,438.30"
74,2024/03/28,230.00,-0.04,234.70,228.40,234.70,"17,792","4,089,951.50"
75,2024/03/27,230.10,-1.46,234.40,228.50,233.50,"35,243","8,108,945.80"
76,2024/03/26,233.50,0,235.00,231.20,234.00,"24,395","5,683,731.70"
77,2024/03/25,233.50,-0.64,235.00,230.30,235.00,"30,270","7,070,949.70"
78,2024/03/21,235.00,0.21,238.00,230.00,230.10,"18,890","4,432,653.00"
79,2024/03/20,234.50,0.04,239.00,230.20,239.00,"21,729","5,059,894.20"
80,2024/03/19,234.40,-0.26,236.00,232.00,235.00,"24,816","5,826,880.80"
81,2024/03/18,235.00,0,239.70,234.00,239.70,"21,615","5,097,592.90"
82,2024/03/17,235.00,0.64,235.00,230.00,233.00,"26,682","6,226,215.10"
83,2024/03/14,233.50,-1.06,236.00,231.40,236.00,"23,461","5,456,473.30"
84,2024/03/13,236.00,-1.54,242.00,235.00,240.00,"14,493","3,431,701.70"
85,2024/03/12,239.70,3.77,239.70,231.20,235.00,"34,642","8,161,336.30"
86,2024/03/10,231.00,1.27,236.00,228.00,232.60,"12,089","2,790,977.40"
87,2024/03/07,228.10,-0.09,229.90,226.10,229.00,"23,094","5,282,655.30"
88,2024/03/06,228.30,-0.52,231.00,225.50,229.50,"22,025","5,043,571.30"
89,2024/03/05,229.50,-3.33,242.10,228.60,242.10,"22,320","5,174,348.40"
90,2024/03/04,237.40,5.98,237.40,228.00,228.00,530,"121,182.00"
91,2024/03/03,224.00,-0.8,230.00,223.00,230.00,"14,194","3,184,330.90"
92,2024/02/29,225.80,-0.96,228.00,225.10,227.00,"16,986","3,847,648.70"
93,2024/02/28,228.00,0.44,231.00,226.20,231.00,"10,145","2,304,421.20"
94,2024/02/27,227.00,-0.44,229.90,226.00,226.20,"15,986","3,624,302.00"
95,2024/02/26,228.00,0.4,230.00,225.10,228.00,"14,222","3,226,207.80"
96,2024/02/25,227.10,-0.83,230.00,227.10,230.00,"22,617","5,165,066.50"
97,2024/02/22,229.00,-0.56,232.00,228.90,230.00,"15,542","3,566,557.90"
98,2024/02/21,230.30,0.13,234.40,229.30,233.00,"11,891","2,743,350.10"
99,2024/02/20,230.00,-0.26,234.50,230.00,230.00,"31,788","7,349,419.20"
100,2024/02/18,230.60,-2.58,235.90,230.00,233.00,"48,129","11,105,439.70"
